annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
INLIER_BACKGROUND,1CO:4:13,1CO,1Corinthians,R0,INLIER,0.030797878071697,Q2,"Being defamed, we intreate: we are made as the filth of the world, and are the off-scouring of all things vnto this day.","Being defamed, we intreat: we are made as the filth of the world, and are the offscouring of all things unto this day.","being defamed, we intreate: we are made as the filth of the world, and are the off-scouring of all things vnto this day.","being defamed, we intreat: we are made as the filth of the world, and are the offscouring of all things unto this day.",0.030797878071697093,0.030797878071697093,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:12:2,1CO,1Corinthians,R0,INLIER,0.0691179124717451,Q3,"Yee know that yee were Gentiles, caryed away vnto these dumbe idoles, euen as ye were led.","Ye know that ye were Gentiles, carried away unto these dumb idols, even as ye were led.","yee know that yee were gentiles, caryed away vnto these dumbe idoles, euen as ye were led.","ye know that ye were gentiles, carried away unto these dumb idols, even as ye were led.",0.06911791247174515,0.06911791247174515,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:5:8,1CO,1Corinthians,R0,INLIER,0.0882133456510315,Q3,"Therefore let vs keepe the Feast, not with old leauen, neither with the leauen of malice and wickednesse: but with the vnleauened bread of sinceritie and trueth.","Therefore let us keep the feast, not with old leaven, neither with the leaven of malice and wickedness; but with the unleavened bread of sincerity and truth.","therefore let vs keepe the feast, not with old leauen, neither with the leauen of malice and wickednesse: but with the vnleauened bread of sinceritie and trueth.","therefore let us keep the feast, not with old leaven, neither with the leaven of malice and wickedness; but with the unleavened bread of sincerity and truth.",0.08821334565103156,0.08821334565103156,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:10:24,1CO,1Corinthians,R0,INLIER,0.1312329145391259,Q4,Let no man seeke his owne: but euery man anothers wealth.,"Let no man seek his own, but every man another’s wealth.",let no man seeke his owne: but euery man anothers wealth.,"let no man seek his own, but every man another’s wealth.",0.1312329145391259,0.1312329145391259,,R0,R1,0.0,
INLIER_BACKGROUND,1CO:15:58,1CO,1Corinthians,R0,INLIER,0.0980671792730172,Q4,"Therefore my beloued brethren, be yee stedfast, vnmoueable, alwayes abounding in the worke of the Lord, forasmuch as you know that your labour is not in vaine in the Lord.","Therefore, my beloved brethren, be ye stedfast, unmoveable, always abounding in the work of the Lord, forasmuch as ye know that your labour is not in vain in the Lord.","therefore my beloued brethren, be yee stedfast, vnmoueable, alwayes abounding in the worke of the lord, forasmuch as you know that your labour is not in vaine in the lord.","therefore, my beloved brethren, be ye stedfast, unmoveable, always abounding in the work of the lord, forasmuch as ye know that your labour is not in vain in the lord.",0.09806717927301722,0.09806717927301722,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:5:19,1JN,1John,R0,INLIER,0.0059636196212888,Q1,"And we know that we are of God, and the whole world lieth in wickednesse.","And we know that we are of God, and the whole world lieth in wickedness.","and we know that we are of god, and the whole world lieth in wickednesse.","and we know that we are of god, and the whole world lieth in wickedness.",0.005963619621288885,0.005963619621288885,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:5:21,1JN,1John,R0,INLIER,0.0268556826296436,Q1,"Little children, keepe your selues from Idoles. Amen.","Little children, keep yourselves from idols. Amen.","little children, keepe your selues from idoles. amen.","little children, keep yourselves from idols. amen.",0.026855682629643662,0.026855682629643662,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:1:10,1JN,1John,R0,INLIER,0.0454202067240105,Q2,"If we say that we haue not sinned, wee make him a liar, and his word is not in vs.","If we say that we have not sinned, we make him a liar, and his word is not in us.","if we say that we haue not sinned, wee make him a liar, and his word is not in vs.","if we say that we have not sinned, we make him a liar, and his word is not in us.",0.04542020672401059,0.04542020672401059,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:4:3,1JN,1John,R0,INLIER,0.045492508797132,Q2,"And euery Spirit that confesseth not that Iesus Christ is come in the flesh, is not of God: and this is that spirit of Antichrist, whereof you haue heard, that it should come, and euen now already is it in the world.","And every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world.","and euery spirit that confesseth not that iesus christ is come in the flesh, is not of god: and this is that spirit of antichrist, whereof you haue heard, that it should come, and euen now already is it in the world.","and every spirit that confesseth not that jesus christ is come in the flesh is not of god: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world.",0.04549250879713207,0.04549250879713207,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:2:28,1JN,1John,R0,INLIER,0.0572732770897167,Q3,"And now, little children, abide in him, that when hee shall appeare, wee may haue confidence, and not bee ashamed before him at his comming.","And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.","and now, little children, abide in him, that when hee shall appeare, wee may haue confidence, and not bee ashamed before him at his comming.","and now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.",0.057273277089716745,0.057273277089716745,,R0,R1,0.0,
