representation,null_model,scope_type,scope_name,n_observed,n_null,mwu_stat,mwu_p,ks_stat,ks_p,cliffs_delta,cliffs_delta_interpretation,mwu_p_fdr,ks_p_fdr
R0,WORK,WORK,HOS,197,100000,65.0,1.3680392639867922e-130,0.99976,0.0,-0.9999934010152284,large; observed_lower_than_null,2.4120692286082915e-130,0.0
R0,WORK,WORK,ISA,1292,100000,4155.0,0.0,0.9976160061919505,0.0,-0.9999356811145512,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JAS,108,100000,630.0,1.2075380176923493e-72,0.99768,5.939260359621586e-285,-0.9998833333333332,large; observed_lower_than_null,1.7588053735953787e-72,8.121029471319311e-285
R0,WORK,WORK,JDG,618,100000,17564.0,0.0,0.9959618770226536,0.0,-0.9994315857605178,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JER,1364,100000,18236.0,0.0,0.993328035190616,0.0,-0.9997326099706744,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JHN,879,100000,46835.0,0.0,0.9860493742889648,0.0,-0.9989343572241184,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JOB,1070,100000,8417.0,0.0,0.991942523364486,0.0,-0.9998426728971964,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JOE,73,100000,940.0,8.578280343591832e-50,0.9906,2.1845566354651642e-148,-0.9997424657534246,large; observed_lower_than_null,1.0465647447884773e-49,2.545483383933322e-148
R0,WORK,WORK,JON,48,100000,2823.0,2.1825916727044853e-33,0.98508,4.384635605412127e-88,-0.99882375,large; observed_lower_than_null,2.4570037923086184e-33,4.7003293690018005e-88
R0,WORK,WORK,JOS,658,100000,31462.0,0.0,0.9840412158054712,0.0,-0.999043708206687,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,JUD,25,100000,0.0,2.3767423950387535e-18,1.0,0.0,-1.0,large; observed_lower_than_null,2.4498729302707153e-18,0.0
R0,WORK,WORK,LAM,154,100000,19529.0,4.071751823202945e-102,0.9840864935064936,2.3603499135761413e-277,-0.9974637662337662,large; observed_lower_than_null,6.7094555382839924e-102,3.162868884192029e-277
R0,WORK,WORK,LEV,859,100000,165253.0,0.0,0.9766002677532012,0.0,-0.9961524330616996,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,LUK,1151,100000,44016.0,0.0,0.9943559513466552,0.0,-0.9992351694178976,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,MAL,55,100000,928.0,5.067231021148588e-38,0.99392,2.6045149561414517e-122,-0.9996625454545456,large; observed_lower_than_null,5.853525489947507e-38,2.8145564848625365e-122
R0,WORK,WORK,MAT,1071,100000,57191.0,0.0,0.9950288795518208,0.0,-0.9989320074696544,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,MIC,105,100000,104.0,1.0577698775419709e-70,0.99956,0.0,-0.9999801904761904,large; observed_lower_than_null,1.480826676338924e-70,0.0
R0,WORK,WORK,MRK,678,100000,72141.0,0.0,0.993635221238938,0.0,-0.9978719469026548,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,NAH,47,100000,85.0,8.3664239587804e-33,0.99915,9.632067208238844e-145,-0.999963829787234,large; observed_lower_than_null,9.199345231982703e-33,1.1031598341059872e-144
R0,WORK,WORK,NEH,406,100000,14290.0,1.0384987873024068e-265,0.9857938916256158,0.0,-0.9992960591133004,large; observed_lower_than_null,2.3586243643817375e-265,0.0
R0,WORK,WORK,NUM,1288,100000,141847.0,0.0,0.988743602484472,0.0,-0.997797406832298,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,OBA,21,100000,930.0,1.1012969978680684e-15,0.99535,2.077504658758665e-49,-0.9991142857142856,large; observed_lower_than_null,1.1012969978680684e-15,2.077504658758665e-49
R0,WORK,WORK,PHM,25,100000,339.0,2.4262027429504882e-18,0.99661,3.5976793278538293e-62,-0.9997288,large; observed_lower_than_null,2.46296339057095e-18,3.6521896207000994e-62
R0,WORK,WORK,PHP,104,100000,2318.0,5.4241467132478834e-70,0.9869346153846156,2.3863749479845616e-196,-0.9995542307692308,large; observed_lower_than_null,7.268356595752164e-70,3.0454689812374404e-196
R0,WORK,WORK,PRO,915,100000,13375.0,0.0,0.99161131147541,0.0,-0.999707650273224,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,PSA,2461,100000,90274.0,0.0,0.9867868833807396,0.0,-0.9992663632669646,large; observed_lower_than_null,0.0,0.0
R0,WORK,WORK,REV,404,100000,772.0,9.096521533574131e-265,0.99946,0.0,-0.999961782178218,large; observed_lower_than_null,1.998252271309727e-264,0.0
R0,WORK,WORK,ROM,433,100000,2758.0,1.823799452327336e-283,0.9943705311778293,0.0,-0.9998726096997692,large; observed_lower_than_null,4.287528537050228e-283,0.0
R0,WORK,WORK,RUT,85,100000,1545.0,1.2928767400098263e-57,0.9879452941176472,1.5824958622453866e-163,-0.9996364705882352,large; observed_lower_than_null,1.6445501728989207e-57,1.8933432637578733e-163
R0,WORK,WORK,SNG,117,100000,3393.0,1.9363320852685296e-78,0.99829,0.0,-0.99942,large; observed_lower_than_null,2.948505675295261e-78,0.0
R0,WORK,WORK,TIT,46,100000,152.0,3.7995321972468193e-32,0.99848,4.6327092126196374e-130,-0.9999339130434782,large; observed_lower_than_null,4.040772336754554e-32,5.088385528615011e-130
R0,WORK,WORK,ZEC,211,100000,6693.0,1.6249259104841177e-139,0.992670663507109,0.0,-0.9993655924170616,large; observed_lower_than_null,2.9827407123955036e-139,0.0
R0,WORK,WORK,ZEP,53,100000,0.0,9.769416023328574e-37,1.0,0.0,-1.0,large; observed_lower_than_null,1.1094082952212237e-36,0.0
R0,WORK_GROUP,WORK_GROUP,NT_SHARED,7957,100000,298379.0,0.0,0.9942897348246826,0.0,-0.999250021364836,large; observed_lower_than_null,0.0,0.0
R0,WORK_GROUP,WORK_GROUP,OT_SHARED,23145,100000,298016.0,0.0,0.9943839122920718,0.0,-0.9997424791531648,large; observed_lower_than_null,0.0,0.0
R0,CANON,CANON,ALL_SHARED,31102,100000,560622.0,0.0,0.9943647726834288,0.0,-0.999639494566266,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,1CH,942,100000,86406.0,0.0,0.9857974309978768,0.0,-0.9981654777070064,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,1CO,437,100000,5658.0,5.637042186880672e-286,0.9904733409610984,0.0,-0.999741052631579,large; observed_lower_than_null,1.3488636661464463e-285,0.0
R1,WORK,WORK,1JN,105,100000,5834.0,1.492555462824558e-70,0.9871661904761904,4.7683362549954505e-199,-0.998888761904762,large; observed_lower_than_null,2.0618807424586677e-70,6.203466584168838e-199
R1,WORK,WORK,1KI,816,100000,4656.0,0.0,0.99541,0.0,-0.9998858823529412,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,1PE,105,100000,153.0,1.060890753198035e-70,0.99929,0.0,-0.9999708571428572,large; observed_lower_than_null,1.480826676338924e-70,0.0
R1,WORK,WORK,1SA,810,100000,21913.0,0.0,0.9865625925925926,0.0,-0.9994589382716048,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,1TH,89,100000,81512.0,3.721384542241076e-58,0.9754580898876404,1.0066398881967889e-143,-0.9816826966292136,large; observed_lower_than_null,4.8309692597369936e-58,1.1431334323590653e-143
R1,WORK,WORK,1TI,113,100000,440.0,6.564335800590532e-76,0.99783,2.094015637538914e-301,-0.9999221238938052,large; observed_lower_than_null,9.834849029096755e-76,3.0834955541781804e-301
R1,WORK,WORK,2CH,822,100000,4518.0,0.0,0.9940469099756692,0.0,-0.9998900729927008,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,2CO,257,100000,1697.0,1.6287835169637512e-169,0.99594,0.0,-0.9998679377431908,large; observed_lower_than_null,3.1631448010600385e-169,0.0
R1,WORK,WORK,2KI,719,100000,9084.0,0.0,0.993547538247566,0.0,-0.9997473157162726,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,2PE,61,100000,455.0,5.835460403698352e-42,0.99812,1.0584218595680142e-166,-0.9998508196721312,large; observed_lower_than_null,6.981711554424813e-42,1.3011791668083845e-166
