scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,threshold_primary,threshold_secondary,threshold_source,small_sample_flag,mad_zero_flag,percentile_method
CANON,ALL_SHARED,R0,31102,0.0591585256246839,0.0314374645559568,0.1718106262810722,0.2471733370884671,0.2471733370884671,0.1718106262810722,CANON,False,False,HF_TYPE_7
CANON,ALL_SHARED,R1,31102,0.0591585256246839,0.0314374645559568,0.1718106262810722,0.2471733370884671,0.2471733370884671,0.1718106262810722,CANON,False,False,HF_TYPE_7
WORK_GROUP,OT_SHARED,R0,23145,0.0588652249913144,0.0308877194396756,0.1706654445366893,0.2419094420657815,0.2419094420657815,0.1706654445366893,WORK_GROUP,False,False,HF_TYPE_7
WORK_GROUP,OT_SHARED,R1,23145,0.0588652249913144,0.0308877194396756,0.1706654445366893,0.2419094420657815,0.2419094420657815,0.1706654445366893,WORK_GROUP,False,False,HF_TYPE_7
WORK_GROUP,NT_SHARED,R0,7957,0.0600947758675489,0.0329108596212053,0.1773025501775273,0.2564808555881711,0.2564808555881711,0.1773025501775273,WORK_GROUP,False,False,HF_TYPE_7
WORK_GROUP,NT_SHARED,R1,7957,0.0600947758675489,0.0329108596212053,0.1773025501775273,0.2564808555881711,0.2564808555881711,0.1773025501775273,WORK_GROUP,False,False,HF_TYPE_7
CANON,EXCLUSIVE_LEFT,R0,0,,,,,,,CANON,True,False,HF_TYPE_7
CANON,EXCLUSIVE_LEFT,R1,0,,,,,,,CANON,True,False,HF_TYPE_7
WORK,1CH,R0,942,0.0819292113116305,0.0393421442362776,0.1958660090019126,0.2568844066016262,0.2568844066016262,0.1958660090019126,WORK,False,False,HF_TYPE_7
WORK,1CH,R1,942,0.0819292113116305,0.0393421442362776,0.1958660090019126,0.2568844066016262,0.2568844066016262,0.1958660090019126,WORK,False,False,HF_TYPE_7
WORK,1CO,R0,437,0.0479235169167446,0.0276103713919702,0.1602659200966021,0.2749938527419566,0.2749938527419566,0.1602659200966021,WORK,False,False,HF_TYPE_7
WORK,1CO,R1,437,0.0479235169167446,0.0276103713919702,0.1602659200966021,0.2749938527419566,0.2749938527419566,0.1602659200966021,WORK,False,False,HF_TYPE_7
WORK,1JN,R0,105,0.0807429870068646,0.0352504782097325,0.2009684727039759,0.2177941649094253,0.2177941649094253,0.2009684727039759,WORK,False,False,HF_TYPE_7
