rank_overall,rank_within_representation,rank_within_classification,rank_within_work,unit_key,work_code,work_name,representation,classification,drift_value,threshold_primary,threshold_secondary,threshold_source,excess_over_primary,excess_over_secondary,drift_to_primary_ratio,drift_to_secondary_ratio,small_sample_flag,mad_zero_flag
28,14,14,2,DEU:2:35,DEU,Deuteronomy,R1,STRONG_OUTLIER,0.3897235318806867,0.2277736606676687,0.158268997269363,WORK,0.16194987121301802,0.2314545346113237,1.7110122862243922,2.4624123397800006,False,False
29,15,15,2,PSA:122:3,PSA,Psalms,R0,STRONG_OUTLIER,0.3896642626083271,0.2517472342683223,0.1720894079000068,WORK,0.1379170283400048,0.2175748547083203,1.5478392989732206,2.264312878772545,False,False
30,15,15,2,PSA:122:3,PSA,Psalms,R1,STRONG_OUTLIER,0.3896642626083271,0.2517472342683223,0.1720894079000068,WORK,0.1379170283400048,0.2175748547083203,1.5478392989732206,2.264312878772545,False,False
31,16,16,2,MAT:15:16,MAT,Matthew,R0,STRONG_OUTLIER,0.3846130639352341,0.2574919331800241,0.1896752365333116,WORK,0.12712113075520998,0.1949378274019225,1.4936897602393389,2.0277452711529196,False,False
32,16,16,2,MAT:15:16,MAT,Matthew,R1,STRONG_OUTLIER,0.3846130639352341,0.2574919331800241,0.1896752365333116,WORK,0.12712113075520998,0.1949378274019225,1.4936897602393389,2.0277452711529196,False,False
33,17,17,2,MRK:2:25,MRK,Mark,R0,STRONG_OUTLIER,0.3837869421725537,0.2485395579355932,0.180716099125319,WORK,0.1352473842369605,0.20307084304723472,1.544168442884286,2.123700898979751,False,False
34,17,17,2,MRK:2:25,MRK,Mark,R1,STRONG_OUTLIER,0.3837869421725537,0.2485395579355932,0.180716099125319,WORK,0.1352473842369605,0.20307084304723472,1.544168442884286,2.123700898979751,False,False
35,18,18,2,GEN:11:12,GEN,Genesis,R0,STRONG_OUTLIER,0.3829262460195207,0.2785225450278982,0.1976616792286194,WORK,0.1044037009916225,0.18526456679090128,1.3748482945291374,1.937281153908546,False,False
36,18,18,2,GEN:11:12,GEN,Genesis,R1,STRONG_OUTLIER,0.3829262460195207,0.2785225450278982,0.1976616792286194,WORK,0.1044037009916225,0.18526456679090128,1.3748482945291374,1.937281153908546,False,False
37,19,19,2,LUK:1:69,LUK,Luke,R0,STRONG_OUTLIER,0.3820259711786397,0.2425750004264786,0.1904093970791806,WORK,0.1394509707521611,0.1916165740994591,1.5748777512397734,2.006339902540506,False,False
38,19,19,2,LUK:1:69,LUK,Luke,R1,STRONG_OUTLIER,0.3820259711786397,0.2425750004264786,0.1904093970791806,WORK,0.1394509707521611,0.1916165740994591,1.5748777512397734,2.006339902540506,False,False
39,20,20,1,JDG:2:16,JDG,Judges,R0,STRONG_OUTLIER,0.3787934523344132,0.2109212600391261,0.1517173137608478,WORK,0.1678721922952871,0.2270761385735654,1.7958998171362464,2.496705504102886,False,False
40,20,20,1,JDG:2:16,JDG,Judges,R1,STRONG_OUTLIER,0.3787934523344132,0.2109212600391261,0.1517173137608478,WORK,0.1678721922952871,0.2270761385735654,1.7958998171362464,2.496705504102886,False,False
41,21,21,3,GEN:11:18,GEN,Genesis,R0,STRONG_OUTLIER,0.3752241825677699,0.2785225450278982,0.1976616792286194,WORK,0.09670163753987171,0.1775625033391505,1.3471950090438303,1.898315262888049,False,False
42,21,21,3,GEN:11:18,GEN,Genesis,R1,STRONG_OUTLIER,0.3752241825677699,0.2785225450278982,0.1976616792286194,WORK,0.09670163753987171,0.1775625033391505,1.3471950090438303,1.898315262888049,False,False
43,22,22,4,GEN:5:12,GEN,Genesis,R0,STRONG_OUTLIER,0.3746039769632022,0.2785225450278982,0.1976616792286194,WORK,0.096081431935304,0.17694229773458278,1.3449682391983027,1.8951775499687413,False,False
44,22,22,4,GEN:5:12,GEN,Genesis,R1,STRONG_OUTLIER,0.3746039769632022,0.2785225450278982,0.1976616792286194,WORK,0.096081431935304,0.17694229773458278,1.3449682391983027,1.8951775499687413,False,False
45,23,23,1,PRO:27:20,PRO,Proverbs,R0,STRONG_OUTLIER,0.3694240938414583,0.2365615998472131,0.1658406971808283,WORK,0.1328624939942452,0.20358339666063,1.5616401566444278,2.227584061821979,False,False
46,23,23,1,PRO:27:20,PRO,Proverbs,R1,STRONG_OUTLIER,0.3694240938414583,0.2365615998472131,0.1658406971808283,WORK,0.1328624939942452,0.20358339666063,1.5616401566444278,2.227584061821979,False,False
47,24,24,1,EPH:4:27,EPH,Ephesians,R0,STRONG_OUTLIER,0.3605811296471108,0.3000571320932129,0.2029310592154672,WORK,0.060523997553897924,0.1576500704316436,1.2017082451321175,1.7768651631796524,False,False
48,24,24,1,EPH:4:27,EPH,Ephesians,R1,STRONG_OUTLIER,0.3605811296471108,0.3000571320932129,0.2029310592154672,WORK,0.060523997553897924,0.1576500704316436,1.2017082451321175,1.7768651631796524,False,False
49,25,25,5,GEN:5:15,GEN,Genesis,R0,STRONG_OUTLIER,0.3600841435234704,0.2785225450278982,0.1976616792286194,WORK,0.08156159849557221,0.162422464294851,1.2928366121579227,1.8217195408270814,False,False
50,25,25,5,GEN:5:15,GEN,Genesis,R1,STRONG_OUTLIER,0.3600841435234704,0.2785225450278982,0.1976616792286194,WORK,0.08156159849557221,0.162422464294851,1.2928366121579227,1.8217195408270814,False,False
51,26,26,1,EZR:2:22,EZR,Ezra,R0,STRONG_OUTLIER,0.3531773623226336,0.2643609161924914,0.1937090361219623,WORK,0.08881644613014217,0.15946832620067128,1.335966630050077,1.8232363827378062,False,False
52,26,26,1,EZR:2:22,EZR,Ezra,R1,STRONG_OUTLIER,0.3531773623226336,0.2643609161924914,0.1937090361219623,WORK,0.08881644613014217,0.15946832620067128,1.335966630050077,1.8232363827378062,False,False
53,27,27,1,NEH:11:36,NEH,Nehemiah,R0,STRONG_OUTLIER,0.3526627042425171,0.249097416043593,0.1712008590080952,WORK,0.1035652881989241,0.1814618452344219,1.4157621939394176,2.0599353664799165,False,False
54,27,27,1,NEH:11:36,NEH,Nehemiah,R1,STRONG_OUTLIER,0.3526627042425171,0.249097416043593,0.1712008590080952,WORK,0.1035652881989241,0.1814618452344219,1.4157621939394176,2.0599353664799165,False,False
55,28,28,6,GEN:5:9,GEN,Genesis,R0,STRONG_OUTLIER,0.352432435431332,0.2785225450278982,0.1976616792286194,WORK,0.07390989040343382,0.1547707562027126,1.2653641212277111,1.7830084051026487,False,False
56,28,28,6,GEN:5:9,GEN,Genesis,R1,STRONG_OUTLIER,0.352432435431332,0.2785225450278982,0.1976616792286194,WORK,0.07390989040343382,0.1547707562027126,1.2653641212277111,1.7830084051026487,False,False
57,29,29,1,JOS:4:17,JOS,Joshua,R0,STRONG_OUTLIER,0.3499371918114649,0.2547743068240014,0.2047369488266913,WORK,0.0951628849874635,0.14520024298477358,1.3735183746499298,1.7092039019673229,False,False
58,29,29,1,JOS:4:17,JOS,Joshua,R1,STRONG_OUTLIER,0.3499371918114649,0.2547743068240014,0.2047369488266913,WORK,0.0951628849874635,0.14520024298477358,1.3735183746499298,1.7092039019673229,False,False
59,30,30,2,JHN:11:17,JHN,John,R0,STRONG_OUTLIER,0.3497873462929519,0.2799187388240086,0.1962180196842647,WORK,0.0698686074689433,0.1535693266086872,1.2496031804175545,1.782646399427516,False,False
60,30,30,2,JHN:11:17,JHN,John,R1,STRONG_OUTLIER,0.3497873462929519,0.2799187388240086,0.1962180196842647,WORK,0.0698686074689433,0.1535693266086872,1.2496031804175545,1.782646399427516,False,False
61,31,31,3,PSA:80:18,PSA,Psalms,R0,STRONG_OUTLIER,0.3496748967365479,0.2517472342683223,0.1720894079000068,WORK,0.0979276624682256,0.1775854888365411,1.388992009198601,2.0319373574678568,False,False
62,31,31,3,PSA:80:18,PSA,Psalms,R1,STRONG_OUTLIER,0.3496748967365479,0.2517472342683223,0.1720894079000068,WORK,0.0979276624682256,0.1775854888365411,1.388992009198601,2.0319373574678568,False,False
63,32,32,3,DEU:32:40,DEU,Deuteronomy,R0,STRONG_OUTLIER,0.3478092410077298,0.2277736606676687,0.158268997269363,WORK,0.12003558034006112,0.1895402437383668,1.5269950001602601,2.1975828937349133,False,False
