scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,mean_drift,std_drift,min_drift,max_drift,cssi,tsi_p95,tsi_p99
CANON,ALL_SHARED,R0,31102,0.05915852562468393,0.03143746455595686,0.17181062628107222,0.24717333708846714,0.07063210942334772,0.05333584948817083,0.0,0.5350452401879036,0.9408414743753161,0.8281893737189278,0.7528266629115329
CANON,ALL_SHARED,R1,31102,0.05915852562468393,0.03143746455595686,0.17181062628107222,0.24717333708846714,0.07063210942334772,0.05333584948817083,0.0,0.5350452401879036,0.9408414743753161,0.8281893737189278,0.7528266629115329
WORK_GROUP,OT_SHARED,R0,23145,0.05886522499131441,0.03088771943967561,0.17066544453668936,0.24190944206578158,0.070218975391831,0.05239619116147017,0.0,0.5034481012215494,0.9411347750086856,0.8293345554633107,0.7580905579342184
WORK_GROUP,OT_SHARED,R1,23145,0.05886522499131441,0.03088771943967561,0.17066544453668936,0.24190944206578158,0.070218975391831,0.05239619116147017,0.0,0.5034481012215494,0.9411347750086856,0.8293345554633107,0.7580905579342184
WORK_GROUP,NT_SHARED,R0,7957,0.060094775867548966,0.032910859621205324,0.17730255017752733,0.25648085558817113,0.0718338169964851,0.0559621598331005,0.0,0.5350452401879036,0.939905224132451,0.8226974498224726,0.7435191444118289
WORK_GROUP,NT_SHARED,R1,7957,0.060094775867548966,0.032910859621205324,0.17730255017752733,0.25648085558817113,0.0718338169964851,0.0559621598331005,0.0,0.5350452401879036,0.939905224132451,0.8226974498224726,0.7435191444118289
CANON,EXCLUSIVE_LEFT,R0,0,,,,,,,,,,,
CANON,EXCLUSIVE_LEFT,R1,0,,,,,,,,,,,
WORK,1CH,R0,942,0.0819292113116305,0.03934214423627769,0.1958660090019126,0.2568844066016262,0.09040042186442392,0.05964308205525496,0.0,0.4119994843706315,0.9180707886883694,0.8041339909980874,0.7431155933983737
WORK,1CH,R1,942,0.0819292113116305,0.03934214423627769,0.1958660090019126,0.2568844066016262,0.09040042186442392,0.05964308205525496,0.0,0.4119994843706315,0.9180707886883694,0.8041339909980874,0.7431155933983737
WORK,1CO,R0,437,0.04792351691674468,0.0276103713919702,0.16026592009660212,0.27499385274195665,0.060647937681739095,0.05195119076400965,0.0,0.3435395785092853,0.9520764830832553,0.8397340799033979,0.7250061472580434
WORK,1CO,R1,437,0.04792351691674468,0.0276103713919702,0.16026592009660212,0.27499385274195665,0.060647937681739095,0.05195119076400965,0.0,0.3435395785092853,0.9520764830832553,0.8397340799033979,0.7250061472580434
WORK,1JN,R0,105,0.08074298700686466,0.035250478209732594,0.20096847270397594,0.2177941649094253,0.09135118826117493,0.05619539284452486,0.0011891815551853258,0.2813481402701943,0.9192570129931353,0.799031527296024,0.7822058350905747
WORK,1JN,R1,105,0.08074298700686466,0.035250478209732594,0.20096847270397594,0.2177941649094253,0.09135118826117493,0.05619539284452486,0.0011891815551853258,0.2813481402701943,0.9192570129931353,0.799031527296024,0.7822058350905747
WORK,1KI,R0,816,0.06070674127055653,0.028117401165899114,0.14716978632560868,0.21342384911980392,0.06852169655644795,0.04434274452056754,0.0,0.26186910879406045,0.9392932587294435,0.8528302136743913,0.7865761508801961
WORK,1KI,R1,816,0.06070674127055653,0.028117401165899114,0.14716978632560868,0.21342384911980392,0.06852169655644795,0.04434274452056754,0.0,0.26186910879406045,0.9392932587294435,0.8528302136743913,0.7865761508801961
